status,latest_date,latest_close,weekly_up,daily_up,setup_type,action,trend_score,setup_score,liquidity_score,vol_pref_score,total_score,turnover_med25_yen,turnover_med25_mn_yen,rv_eval_pct,rv_lookback,vol_ratio,bb_z,ma25,ma50,bb_upper,bb_lower,entry_low,entry_high,stop,take1,take2,risk_pct,reward1_pct,reward2_pct,rr1,rr2,code,group_name,file_path
ok,2026-06-15,1420.0,True,False,監視,除外（ボラ条件外）,75.0,0.0,70.0,0.0,36.75,273068400.0,273.0684,47.41399905327584,126,0.46967614906577515,-0.27565756162654903,1439.52,1334.4,1581.1449921447465,1297.8950078552534,,,,,,,,,,,3964,④その他140,prices/3964.T/3964.T__1d.csv
ok,2026-06-16,2451.0,True,False,監視,除外（ボラ条件外）,75.0,0.0,70.0,0.0,36.75,489494600.0,489.4946,47.26371187812667,126,1.3260118504197769,2.313773453869632,2284.32,2376.06,2428.3963353224913,2140.243664677509,,,,,,,,,,,5208,④その他140,prices/5208.T/5208.T__1d.csv
ok,2026-06-12,831.0,True,False,監視,除外（ボラ条件外）,60.0,0.0,100.0,0.0,36.0,3500963200.0,3500.9632,88.91747265659666,126,0.3686940321816104,-1.3148679332341329,1032.4,856.98,1338.7425533614223,726.057446638578,,,,,,,,,,,5074,④その他140,prices/5074.T/5074.T__1d.csv
ok,2026-06-16,4480.0,True,False,監視,除外（ボラ条件外）,60.0,0.0,100.0,0.0,36.0,2984214000.0,2984.214,101.66228629822558,126,0.4737142043026072,-1.4674992931151365,5507.0,5132.3,6906.659958704217,4107.340041295783,,,,,,,,,,,6521,④その他140,prices/6521.T/6521.T__1d.csv
ok,2026-06-15,486.0,True,True,監視,除外（流動性不足）,100.0,0.0,0.0,1.02,35.15,7896000.0,7.896,44.74476417746279,126,0.25226256111515655,0.6357507983263012,461.16,421.02,539.3038263715739,383.01617362842615,,,,,,,,,,,3976,①特に気になる20,prices/3976.T/3976.T__1d.csv
ok,2026-06-15,960.0,True,True,監視,除外（流動性不足）,100.0,0.0,0.0,0.0,35.0,3189600.0,3.1896,49.81538522047214,126,0.3746594005449591,1.7353374630877774,904.88,897.68,968.4065487808026,841.3534512191974,,,,,,,,,,,334A,④その他140,prices/334A.T/334A.T__1d.csv
ok,2026-06-15,1100.0,True,False,監視,除外（流動性不足）,60.0,0.0,0.0,89.86,34.48,39888000.0,39.888,22.536029713002225,126,0.33972213771422777,-2.615439448455845,1106.72,1102.28,1111.8587157932236,1101.5812842067764,,,,,,,,,,,7317,④その他140,prices/7317.T/7317.T__1d.csv
ok,2026-06-15,824.0,False,True,監視,除外（流動性不足）,55.0,0.0,0.0,78.99,31.1,5214000.0,5.214,25.252339623256724,126,2.117794486215539,3.0746172164444183,800.2,798.98,815.6816019846028,784.7183980153973,,,,,,,,,,,7049,③業績も短信も良い20,prices/7049.T/7049.T__1d.csv
ok,2026-06-16,775.0,True,False,監視,監視候補（週足上昇）,60.0,0.0,35.0,28.91,30.59,63468000.0,63.468,37.77344097407487,126,0.5675106568743259,-1.1022262803485376,790.56,749.54,818.7937670175668,762.3262329824331,,,,,,,,,,,9343,④その他140,prices/9343.T/9343.T__1d.csv
ok,2026-06-15,1750.0,False,True,監視,様子見,55.0,0.0,70.0,2.96,30.19,220804300.0,220.8043,44.26005710053782,126,0.6393286387462276,0.500253365555441,1711.36,1682.08,1865.841719306765,1556.8782806932347,,,,,,,,,,,4493,④その他140,prices/4493.T/4493.T__1d.csv
ok,2026-06-15,166.0,True,False,監視,除外（ボラ条件外）,60.0,0.0,55.0,0.0,29.25,173226600.0,173.2266,103.67574685581438,126,0.21601789778988822,-0.44349682792975004,170.96,165.22,193.32769098508942,148.5923090149106,,,,,,,,,,,3936,④その他140,prices/3936.T/3936.T__1d.csv
ok,2026-06-15,627.0,True,False,監視,除外（ボラ条件外）,60.0,0.0,55.0,0.0,29.25,172507500.0,172.5075,166.7742456445052,126,1.0235806911207168,-1.534635698230915,780.2,888.08,979.8565050280073,580.5434949719928,,,,,,,,,,,4422,④その他140,prices/4422.T/4422.T__1d.csv
ok,2026-06-12,2089.0,False,True,監視,除外（流動性不足）,55.0,0.0,0.0,62.52,28.63,5291000.0,5.291,29.368945787103897,126,1.0365251727541955,2.243901754259537,2034.28,2015.72,2083.0521887967034,1985.5078112032966,,,,,,,,,,,7110,③業績も短信も良い20,prices/7110.T/7110.T__1d.csv
